"ecosystem","polygons","eligible_polygons","excluded_polygons","canopy_median","reference_median","forest_median","indicator_mean","indicator_area_weighted","proportion_exactly_1"
"Naturlig aapne",6536,6474,62,0.0129395198122981,0.18540632724762,9.61104469718906,0.997348470806302,0.999525360697795,0.956904541241891
"Semi-naturlig",41174,40815,359,0.0154637537406301,0.713635802268982,9.61104469718906,0.995158113438687,0.999226557873884,0.957001102535832
"Vaatmark",11161,11093,68,0.0108261940610696,0.149017333984375,8.47727192773821,0.998822671955287,0.999869308600165,0.980438114126025
