"statistic","canopy_median_m","reference_height_m","forest_height_m","indicator_value"
"min",0.0100089968426189,0.0199217610173039,4.86342411059793,0
"p05",0.0101721640204151,0.0706240367889404,5.46648239584725,1
"p25",0.0106861660953658,0.175198554992676,6.87548856317911,1
"median",0.013123592253329,0.683197021484375,9.61104469718906,1
"p75",0.0342505136729616,1.03227535761816,10.4751775572172,1
"p95",0.597920168793109,2.2826073399842,12.1238107645214,1
"max",18.2520220758957,2.2826073399842,12.1238107645214,1
