"ecosystem","polygons","old_chm_median","new_canopy_median","old_chm_p95","new_canopy_p95","median_ratio_new_to_old","spearman_correlation","below_good_reference","proportion_below_good_reference","exactly_indicator_1"
"Naturlig aapne",6536,0.151999264955521,0.0129395198122981,3.56324958801269,0.298077537727863,0.136124398088304,0.419994081279638,6136,0.941104294478528,6195
"Semi-naturlig",41174,0.470895767211914,0.0154637537406301,6.10232563018798,0.814342352802437,0.0837601093473698,0.654032067182226,39080,0.949765475004253,39060
"Vaatmark",11161,0.0760498046875,0.0108261940610696,2.95186157226562,0.0753452414995853,0.164893711099097,0.592867563468855,10755,0.967959679596796,10876
