"year","part","sampled_mean"
"1990","C",0.248937018136821
"1990","C",0.248872415908163
"1990","C",0.288662382539613
"1990","C",0.278010469093148
"1990","C",0.252639203843899
"1990","C",0.277076326117768
"1990","C",0.313729289315162
"1990","C",0.262202215090695
"1990","C",0.320630072038816
"1990","C",0.405081285511554
"1990","C",0.33880253376658
"1990","C",0.267624726684032
"1990","C",0.222435467729115
"1990","C",0.224282708491376
"1990","C",0.0434121686692669
"1990","C",0.441561298690363
"1990","C",0.274702397619382
"1990","C",0.0560328989915451
"1990","C",0.294256254783507
"1990","C",0.339198099705865
"1990","C",0.293294595098428
"1990","C",0.252365291375483
"1990","C",0.237811853096029
"1990","C",0.3696161500091
"1990","C",0.242772891150587
"1990","C",0.2813578972616
"1990","C",0.236630281610406
"1990","C",0.190682724486586
"1990","C",0.289263932575963
"1990","C",0.326843010079352
"1990","C",0.401260720913295
"1990","C",0.221357994517002
"1990","C",0.376832509379709
"1990","C",0.335369281777949
"1990","C",0.3582461952574
"1990","C",0.255525482483838
"1990","C",0.0462546742609713
"1990","C",0.390787931490349
"1990","C",0.31644366142804
"1990","C",0.277646577350958
"1990","C",0.313198819477755
"1990","C",0.287111563402008
"1990","C",0.289715003795272
"1990","C",0.221433928476724
"1990","C",0.429322064396083
"1990","C",0.404840772834972
"1990","C",0.261803046279258
"1990","C",0.309086430005183
"1990","C",0.075263154508677
"1990","C",0.321909475425615
"1990","C",0.233280917747075
"1990","C",0.253855151561277
"1990","C",0.269721123220116
"1990","C",0.180455599702951
"1990","C",0.246628007602921
"1990","C",0.206559442884818
"1990","C",0.304374484753399
"1990","C",0.181196807346157
"1990","C",0.249272934127226
"1990","C",0.379670322335243
"1990","C",0.247166641615321
"1990","C",0.2094572274186
"1990","C",0.194500395327108
"1990","C",0.269497931704958
"1990","C",0.228902513517444
"1990","C",0.414760807765069
"1990","C",0.24868042695402
"1990","C",0.283792683997842
"1990","C",0.198849646933808
"1990","C",0.217089861911043
"1990","C",0.203187863619165
"1990","C",0.403566368477225
"1990","C",0.077764641432735
"1990","C",0.368888718346959
"1990","C",0.140542588345854
"1990","C",0.2290797570207
"1990","C",0.311029807636136
"1990","C",0.268889585523721
"1990","C",0.298634667321135
"1990","C",0.293171714235087
"1990","C",0.20324290474971
"1990","C",0.376213053431143
"1990","C",0.292505413241902
"1990","C",0.226280072110442
"1990","C",0.219854548711704
"1990","C",0.37338629693046
"1990","C",0.306792228718477
"1990","C",0.310104843492435
"1990","C",0.244779120779123
"1990","C",0.288184798789422
"1990","C",0.331457499876719
"1990","C",0.207778639766614
"1990","C",0.216489723656705
"1990","C",0.224219615960749
"1990","C",0.398818311478949
"1990","C",0.244047647432221
"1990","C",0.280871484283282
"1990","C",0.29607032427397
"1990","C",0.377736863119986
"1990","C",0.385573208139848
"1990","C",0.237471617796221
"1990","C",0.222223159279625
"1990","C",0.278821264202003
"1990","C",0.28314473310067
"1990","C",0.395768659702263
"1990","C",0.29904343464082
"1990","C",0.357159053574924
"1990","C",0.331353167486484
"1990","C",0.183237340623634
"1990","C",0.308011455524501
"1990","C",0.26222263555687
"1990","C",0.354567515860142
"1990","C",0.217298394253828
"1990","C",0.312470654664945
"1990","C",0.381537624291637
"1990","C",0.350346557687728
"1990","C",0.28151912906264
"1990","C",0.350194535479748
"1990","C",0.34776451605433
"1990","C",0.209881066539802
"1990","C",0.272089710831188
"1990","C",0.332770975738835
"1990","C",0.251968267795872
"1990","C",0.289180670187905
"1990","C",0.266788488870399
"1990","C",0.220668303381941
"1990","C",0.26927523639417
"1990","C",0.278412119748479
"1990","C",0.383346742490263
"1990","C",0.254106530663466
"1990","C",0.405278481735864
"1990","C",0.38804907805041
"1990","C",0.453486551729123
"1990","C",0.383356433033267
"1990","C",0.254507501544564
"1990","C",0.360717455540256
"1990","C",0.309211764530934
"1990","C",0.201237704608497
"1990","C",0.294531923072404
"1990","C",0.451506217801989
"1990","C",0.215554501616333
"1990","C",0.0874914221211089
"1990","C",0.265986672000372
"1990","C",0.31956462212599
"1990","C",0.241257286584377
"1990","C",0.406508225830875
"1990","C",0.31729649969504
"1990","C",0.165582526169568
"1990","C",0.402995046379495
"1990","C",0.236130315174153
"1990","C",0.284559671843185
"1990","C",0.364032173726415
"1990","C",0.21830606749352
"1990","C",0.270752428789922
"1990","C",0.446849281975576
"1990","C",0.269100359958603
"1990","C",0.368946947438451
"1990","C",0.251029276099139
"1990","C",0.232508365974446
"1990","C",0.337816895289255
"1990","C",0.244625573823666
"1990","C",0.260261066677905
"1990","C",0.210456052238701
"1990","C",0.251155301957746
"1990","C",0.348149611282618
"1990","C",0.310334541213962
"1990","C",0.229176155422362
"1990","C",0.23453711584167
"1990","C",0.241898459069283
"1990","C",0.179379250290374
"1990","C",0.256124553144552
"1990","C",0.293847969347158
"1990","C",0.436804912892671
"1990","C",0.0796385220188339
"1990","C",0.333116465885968
"1990","C",0.12216307851635
"1990","C",0.257202831723508
"1990","C",0.375678985753645
"1990","C",0.309307134061764
"1990","C",0.340585446087662
"1990","C",0.266665372384603
"1990","C",0.180563084712077
"1990","C",0.197860492486311
"1990","C",0.370796560583249
"1990","C",0.265961963225117
"1990","C",0.225872877599242
"1990","C",0.295226668657921
"1990","C",0.150132902509576
"1990","C",0.261405499817399
"1990","C",0.363581855850734
"1990","C",0.360831758059585
"1990","C",0.377610268281112
"1990","C",0.240858479871596
"1990","C",0.0608208677716614
"1990","C",0.273085156600024
"1990","C",0.357731671607441
"1990","C",0.3059682080963
"1990","C",0.251899553832098
"1990","C",0.303499730145908
"1990","C",0.287165710880323
"1990","C",0.293338436248519
"1990","C",0.287698656400199
"1990","C",0.255147315232155
"1990","C",0.222182852523843
"1990","C",0.344373390691611
"1990","C",0.328541312001215
"1990","C",0.157757887049476
"1990","C",0.0258115127283711
"1990","C",0.0568097073727392
"1990","C",0.240760114213337
"1990","C",0.314161054232994
"1990","C",0.243182155052444
"1990","C",0.309583912041394
"1990","C",0.366843606480595
"1990","C",0.276173720062648
"1990","C",0.133887502115146
"1990","C",0.109211266546635
"1990","C",0.246288666477613
"1990","C",0.244899474634359
"1990","C",0.183151079549871
"1990","C",0.224499476708172
"1990","C",0.149306070432105
"1990","C",0.310666477885589
"1990","C",0.28561692527455
"1990","C",0.225047952661164
"1990","C",0.301870353715644
"1990","C",0.34668024585454
"1990","C",0.255236046058145
"1990","C",0.324961567435695
"1990","C",0.279810882530676
"1990","C",0.251872587384835
"1990","C",0.298000346243437
"1990","C",0.149616953353222
"1990","C",0.226617140591299
"1990","C",0.240979816437801
"1990","C",0.233489709086503
"1990","C",0.256478369272682
"1990","C",0.376679144765846
"1990","C",0.276552821343193
"1990","C",0.114519951147514
"1990","C",0.234838449741498
"1990","C",0.239078857875348
"1990","C",0.297213799655009
"1990","C",0.383471140062184
"1990","C",0.106493558466865
"1990","C",0.349184093036668
"1990","C",0.222853124311594
"1990","C",0.234456784949491
"1990","C",0.334327627372608
"1990","C",0.0204784293029964
"1990","C",0.247629396103599
"1990","C",0.360178010761
"1990","C",0.373108022281293
"1990","C",0.278163828850844
"1990","C",0.33096115861447
"1990","C",0.0581351251180173
"1990","C",0.304753289752206
"1990","C",0.162194900148003
"1990","C",0.340790907512412
"1990","C",0.238176313183304
"1990","C",0.398715557347542
"1990","C",0.339200408527863
"1990","C",0.180416704844948
"1990","C",0.305358881409074
"1990","C",0.225906822655045
"1990","C",0.257094938174321
"1990","C",0.337220902894139
"1990","C",0.253907764701892
"1990","C",0.318656531028047
"1990","C",0.141410531505074
"1990","C",0.180152682686217
"1990","C",0.345840984989988
"1990","C",0.167861474992659
"1990","C",0.207414805601666
"1990","C",0.342406431366609
"1990","C",0.289211537183612
"1990","C",0.209863798110614
"1990","C",0.27187189611912
"1990","C",0.249251112459365
"1990","C",0.0976241584715803
"1990","C",0.41861514095261
"1990","C",0.101716250328599
"1990","C",0.359821899361297
"1990","C",0.235216607378526
"1990","C",0.232135754364318
"1990","C",0.252102614526537
"1990","C",0.259868176256641
"1990","C",0.247239122228121
"1990","C",0.271631627767372
"1990","C",0.329584267437329
"1990","C",0.288665948298676
"1990","C",0.229450101359205
"1990","C",0.39584737129652
"1990","C",0.275079153086197
"1990","C",0.331165953154155
"1990","C",0.245438368653834
"1990","C",0.239836503225615
"1990","C",0.216464237631247
"1990","C",0.226788075948208
"1990","C",0.312996182553215
"1990","C",0.190382281198003
"1990","C",0.172163388278875
"1990","C",0.0868413424252557
"1990","C",0.248288647386951
"1990","C",0.0895458657209791
"1990","C",0.125969903079568
"1990","C",0.174596558585472
"1990","C",0.348512397515989
"1990","C",0.26150882011765
"1990","C",0.253058813096774
"1990","C",0.358268677246678
"1990","C",0.241598009623434
"1990","C",0.347564119900723
"1990","C",0.235028360177201
"1990","C",0.30568847083017
"1990","C",0.383729016046944
"1990","C",0.401326655048114
"1990","C",0.2312613123823
"1990","C",0.303643597683549
"1990","C",0.183655313044132
"1990","C",0.26235715576456
"1990","C",0.242681705535842
"1990","C",0.0120106903648515
"1990","C",0.408472409775161
"1990","C",0.262215724504329
"1990","C",0.168330545437858
"1990","C",0.260125031919666
"1990","C",0.290096041019355
"1990","C",0.289894655775394
"1990","C",0.261182789880635
"1990","C",0.285807950860369
"1990","C",0.186883384400738
"1990","C",0.279243810679806
"1990","C",0.279368942701179
"1990","C",0.285391412939276
"1990","C",0.179208671689873
"1990","C",0.312143149972539
"1990","C",0.237127727465849
"1990","C",0.148022740748159
"1990","C",0.282687176852701
"1990","C",0.219534948975709
"1990","C",0.425152943285536
"1990","C",0.13236175282856
"1990","C",0.05321209120048
"1990","C",0.186757876033698
"1990","C",0.259681541709354
"1990","C",0.346793071118342
"1990","C",0.306945865551598
"1990","C",0.289413985679901
"1990","C",0.128668337061491
"1990","C",0.260674245564882
"1990","C",0.249426106511143
"1990","C",0.23686623528111
"1990","C",0.307232750306396
"1990","C",0.20063704480159
"1990","C",0.217588864604964
"1990","C",0.211282217377006
"1990","C",0.120048576513897
"1990","C",0.225963743859554
"1990","C",0.179921501443329
"1990","C",0.409364899402234
"1990","C",0.335618044520994
"1990","C",0.30859100987534
"1990","C",0.274532265147487
"1990","C",0.188704617554992
"1990","C",0.260970698239653
"1990","C",0.082559403399426
"1990","C",0.0992334888178959
"1990","C",0.236174598144591
"1990","C",0.380864168234842
"1990","C",0.393935802963912
"1990","C",0.139842945119744
"1990","C",0.241736521802166
"1990","C",0.22654183388929
"1990","C",0.302513764476268
"1990","C",0.295489925999289
"1990","C",0.214412556369324
"1990","C",0.259369361712404
"1990","C",0.196920770705852
"1990","C",0.25650480842967
"1990","C",0.233641749680549
"1990","C",0.227321356389553
"1990","C",0.235810972099537
"1990","C",0.311648238999617
"1990","C",0.0761994310596066
"1990","C",0.225970968130046
"1990","C",0.255155567632907
"1990","C",0.219716629692735
"1990","C",0.121206702228392
"1990","C",0.201934795494939
"1990","C",0.319105221105938
"1990","C",0.22487881027667
"1990","C",0.284817433870496
"1990","C",0.223516110148548
"1990","C",0.0410882645859667
"1990","C",0.18914043705711
"1990","C",0.345186748224749
"1990","C",0.1995596130498
"1990","C",0.386061821814747
"1990","C",0.129646524729554
"1990","C",0.153688177795034
"1990","C",0.282997850374186
"1990","C",0.24038680992612
"1990","C",0.199535408792975
"1990","C",0.210023333415208
"1990","C",0.1594474117094
"1990","C",0.175636035608746
"1990","C",0.1592598678358
"1990","C",0.330513520097468
"1990","C",0.227433934586949
"1990","C",0.232622501496286
"1990","C",0.291461339964368
"1990","C",0.236410080826035
"1990","C",0.419839780394464
"1990","C",0.19624508734386
"1990","C",0.29935809691767
"1990","C",0.306827144518185
"1990","C",0.168247594430016
"1990","C",0.31453838786741
"1990","C",0.307115702842825
"1990","C",0.374890829420657
"1990","C",0.302393607537533
"1990","C",0.201892874158075
"1990","C",0.261360153116435
"1990","C",0.246374488476663
"1990","C",0.225418721400878
"1990","C",0.187471453966731
"1990","C",0.283170141963847
"1990","C",0.251226119216415
"1990","C",0.397133947110277
"1990","C",0.236585794603442
"1990","C",0.419119486033821
"1990","C",0.241919314701006
"1990","C",0.251183186814921
"1990","C",0.260406946703644
"1990","C",0.276632250026572
"1990","C",0.320854459673165
"1990","C",0.308362071079
"1990","C",0.316515004149256
"1990","C",0.36260132589503
"1990","C",0.278712687844306
"1990","C",0.224120151028077
"1990","C",0.273876669897897
"1990","C",0.251964815795521
"1990","C",0.153488175242574
"1990","C",0.259024764919397
"1990","C",0.306896854856084
"1990","C",0.332016817632946
"1990","C",0.159614045082366
"1990","C",0.280545917701691
"1990","C",0.0280036589581439
"1990","C",0.237263398824046
"1990","C",0.251868025766039
"1990","C",0.318353005752706
"1990","C",0.278418768933247
"1990","C",0.212787231910515
"1990","C",0.248496179033675
"1990","C",0.25928181959163
"1990","C",0.316393647682099
"1990","C",0.225229328718031
"1990","C",0.0422072118325187
"1990","C",0.329766416343939
"1990","C",0.0612265157693782
"1990","C",0.247509317658936
"1990","C",0.386460972063842
"1990","C",0.215611837214096
"1990","C",0.279825153569794
"1990","C",0.0344659980670463
"1990","C",0.247071717007804
"1990","C",0.11109788187623
