ecosystem,ECT,verbatimeName,indicatorName,indicatorID,reportingYears,ect,folder,results_path,weight,national_weight_scheme,match_status,has_results,results_ref,results_url,results_source
mountain,A1 Fysiske egenskaper,Isbreer,Glaciers,NO_GLAC_001,NA,A1,NO_GLAC_001,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,A1 Fysiske egenskaper,Snødybde,Snow depth,NO_SNOW_001,NA,A1,NO_SNOW_001,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,A1 Fysiske egenskaper,Vegetasjonsindikator på varmekrav,Warming impact on vegetation,NO_FUHR_002,NA,A1,NO_FUHR_002,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,B1 Biologisk mangfold,Fjellrev,Arctic fox,NO_AFOX_001,NA,B1,NO_AFOX_001,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,B1 Biologisk mangfold,Fremmede plantearter,Alien plant species,NO_ALIE_002,NA,B1,NO_ALIE_002,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,B1 Biologisk mangfold,Kongeørn,Golden eagle,NO_GOLD_001,NA,B1,NO_GOLD_001,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,B1 Biologisk mangfold,Jerv,Wolverine,NO_JERV_001,NA,B1,NO_JERV_001,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,B1 Biologisk mangfold,Fjellrype,Ptarmigan,NO_PTAR_001,NA,B1,NO_PTAR_001,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,B2 Strukturelle egenskaper,Reinlav,Lichen biomass,NO_LAVH_001,NA,B2,NO_LAVH_001,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,B3 Funksjonelle egenskaper,Smågnagere,Small rodents,NO_RODE_001,NA,B3,NO_RODE_001,NA,1,equal,no_results,FALSE,NA,NA,NA
mountain,B3 Funksjonelle egenskaper,Terrengskade,Erosive disturbance,NO_SLIT_001,NA,B3,NO_SLIT_001,NA,1,equal,no_results,FALSE,NA,NA,NA
