year,part,level,id,sampled_value
2019,C,ECT,A1,0.5739191504239863
2019,C,ECT,A1,0.49336623729682083
2019,C,ECT,A1,0.4716973980196734
2019,C,ECT,A1,0.5677090070806582
2019,C,ECT,A1,0.5593552362544546
2019,C,ECT,A1,0.5335818054056422
2019,C,ECT,A1,0.5473250071700028
2019,C,ECT,A1,0.5283612852607762
2019,C,ECT,A1,0.5453713563601467
2019,C,ECT,A1,0.48217903227231623
2019,C,ECT,A1,0.47641871259198654
2019,C,ECT,A1,0.5611619049391683
2019,C,ECT,A1,0.5581802400073047
2019,C,ECT,A1,0.3659607447619753
2019,C,ECT,A1,0.5199326274986662
2019,C,ECT,A1,0.5345236234006091
2019,C,ECT,A1,0.5571428083370072
2019,C,ECT,A1,0.5733326519653351
2019,C,ECT,A1,0.5554264550535374
2019,C,ECT,A1,0.5050938977649588
2019,C,ECT,A1,0.5602630567583545
2019,C,ECT,A1,0.5340321700633027
2019,C,ECT,A1,0.559278954324692
2019,C,ECT,A1,0.5601749392617362
2019,C,ECT,A1,0.5352073765636444
2019,C,ECT,A1,0.4867986480371069
2019,C,ECT,A1,0.5709470186357862
2019,C,ECT,A1,0.5061956619993432
2019,C,ECT,A1,0.5712688748242376
2019,C,ECT,A1,0.5667869610764497
2019,C,ECT,A1,0.5708521897314776
2019,C,ECT,A1,0.5635518053743872
2019,C,ECT,A1,0.5452960711638765
2019,C,ECT,A1,0.5073345884352213
2019,C,ECT,A1,0.554221470330222
2019,C,ECT,A1,0.5811060576669981
2019,C,ECT,A1,0.556594770910634
2019,C,ECT,A1,0.5322160854967671
2019,C,ECT,A1,0.5906331295172188
2019,C,ECT,A1,0.5525983759481237
2019,C,ECT,A1,0.570543349663521
2019,C,ECT,A1,0.5526211460861455
2019,C,ECT,A1,0.5168030064808987
2019,C,ECT,A1,0.550452350379767
2019,C,ECT,A1,0.5416059337905327
2019,C,ECT,A1,0.5350874537863274
2019,C,ECT,A1,0.5368464093910276
2019,C,ECT,A1,0.5559327679677236
2019,C,ECT,A1,0.5286748065017446
2019,C,ECT,A1,0.547436774811521
2019,C,ECT,A1,0.5673696509006548
2019,C,ECT,A1,0.5237022767981024
2019,C,ECT,A1,0.5665165505882718
2019,C,ECT,A1,0.5362365036658222
2019,C,ECT,A1,0.5773082475748272
2019,C,ECT,A1,0.563893876436543
2019,C,ECT,A1,0.5411303647663334
2019,C,ECT,A1,0.5559151224466862
2019,C,ECT,A1,0.5453701088196828
2019,C,ECT,A1,0.5166341567551261
2019,C,ECT,A1,0.563961456363986
2019,C,ECT,A1,0.5453561428975289
2019,C,ECT,A1,0.5482722472472163
2019,C,ECT,A1,0.5515276638441385
2019,C,ECT,A1,0.574710657782299
2019,C,ECT,A1,0.5340317728447227
2019,C,ECT,A1,0.5450254949697989
2019,C,ECT,A1,0.5187697008551
2019,C,ECT,A1,0.5524461214102717
2019,C,ECT,A1,0.5421062874869039
2019,C,ECT,A1,0.5494964658900543
2019,C,ECT,A1,0.554916629424569
2019,C,ECT,A1,0.5525008969713423
2019,C,ECT,A1,0.5371940355080751
2019,C,ECT,A1,0.5417099832001543
2019,C,ECT,A1,0.5584814295209286
2019,C,ECT,A1,0.5171558282974632
2019,C,ECT,A1,0.5572796761845957
2019,C,ECT,A1,0.5675497395869907
2019,C,ECT,A1,0.5365410691160931
2019,C,ECT,A1,0.5455198997187709
2019,C,ECT,A1,0.56433163966981
2019,C,ECT,A1,0.5528096904612543
2019,C,ECT,A1,0.5202806038731643
2019,C,ECT,A1,0.5516725626518956
2019,C,ECT,A1,0.563801326566479
2019,C,ECT,A1,0.562615247045973
2019,C,ECT,A1,0.5446924735424433
2019,C,ECT,A1,0.5626868063943913
2019,C,ECT,A1,0.5616415628493555
2019,C,ECT,A1,0.5642017851621983
2019,C,ECT,A1,0.5570288048650576
2019,C,ECT,A1,0.5524378654562132
2019,C,ECT,A1,0.573977948524985
2019,C,ECT,A1,0.5453387025588557
2019,C,ECT,A1,0.570408380881629
2019,C,ECT,A1,0.5379188227979116
2019,C,ECT,A1,0.2921468237097393
2019,C,ECT,A1,0.5704783702733237
2019,C,ECT,A1,0.5299111722250706
2019,C,ECT,A1,0.552881140458093
2019,C,ECT,A1,0.5584600838491505
2019,C,ECT,A1,0.5453277312194057
2019,C,ECT,A1,0.5230111415186455
2019,C,ECT,A1,0.5445512535437579
2019,C,ECT,A1,0.5678269198573714
2019,C,ECT,A1,0.551552271740991
2019,C,ECT,A1,0.5393569442170654
2019,C,ECT,A1,0.5489562274206943
2019,C,ECT,A1,0.45410106501073483
2019,C,ECT,A1,0.5562555576699624
2019,C,ECT,A1,0.5220864270537499
2019,C,ECT,A1,0.5437492513202823
2019,C,ECT,A1,0.5645885019417333
