year,part,level,id,median,q025,q975,n,ecosystem
2019,C,ECT,A1,0.7697012068557004,0.7611611123803855,0.7787707386495302,1000,forest
2019,C,ECT,A2,0.6374659012491389,0.6147992005743533,0.6644422735548355,1000,forest
2019,C,ECT,B1,0.619502317588228,0.5793695746493087,0.6655024121453297,1000,forest
2019,C,ECT,B2,0.3652518147414088,0.3478655113448971,0.3829140810929388,1000,forest
2019,C,ECT,B3,0.3234114270195103,0.24213306530348497,0.41987915334223663,1000,forest
2019,C,ECT,C1,0.5376274288580016,0.5242738385269865,0.5506457188538155,1000,forest
2019,E,ECT,A1,0.7691790459082828,0.7613461567836063,0.7769001957067467,1000,forest
2019,E,ECT,A2,0.6461073180016139,0.6257824841544881,0.6680832261962021,1000,forest
2019,E,ECT,B1,0.5888268501018763,0.5573968146850886,0.6280249801785142,1000,forest
2019,E,ECT,B2,0.32576382257371933,0.31494719403550675,0.3360938591324355,1000,forest
2019,E,ECT,B3,0.2824431920032853,0.21511881508619524,0.36064448326319415,1000,forest
2019,E,ECT,C1,0.46320425004936083,0.45393047674702147,0.4728125126838577,1000,forest
2019,N,ECT,A1,0.7645386903027107,0.7569908190527077,0.77215986688181,1000,forest
2019,N,ECT,A2,0.6275661794846084,0.6052550151577476,0.6472785405273758,1000,forest
2019,N,ECT,B1,0.626882514506502,0.6087701199631586,0.6495375537450382,1000,forest
2019,N,ECT,B2,0.43539478488843264,0.4089973206940348,0.4625646031717496,1000,forest
2019,N,ECT,B3,0.17402336286041709,0.11480048834622786,0.2690336103828394,1000,forest
2019,N,ECT,C1,0.49121550523347013,0.47488404516317745,0.5107999837809237,1000,forest
2019,Norway,ECT,A1,0.7703782071039045,0.7663829410514132,0.7739658634661156,1000,forest
2019,Norway,ECT,A2,0.6379272105368976,0.623638736712693,0.6512830431050947,1000,forest
2019,Norway,ECT,B1,0.6013808883516405,0.5792481816732334,0.623740305173826,1000,forest
2019,Norway,ECT,B2,0.36533273832338,0.3571332081234025,0.37363199077515274,1000,forest
2019,Norway,ECT,B3,0.2633746835874189,0.22560748023029634,0.302464378877893,1000,forest
2019,Norway,ECT,C1,0.4852280584314571,0.4784814184090959,0.4917117074282755,1000,forest
2019,S,ECT,A1,0.7853993503807286,0.7747128796949347,0.794595474336997,1000,forest
2019,S,ECT,A2,0.6504856126961156,0.6213659081658028,0.6853307607451418,1000,forest
2019,S,ECT,B1,0.6217193969231127,0.5814917933500112,0.662375305495282,1000,forest
2019,S,ECT,B2,0.36477544086757296,0.3469399912397794,0.382613782779302,1000,forest
2019,S,ECT,B3,0.37436377054882186,0.2891203981773586,0.4570792016042961,1000,forest
2019,S,ECT,C1,0.5068584530288013,0.4920569752133835,0.5214886468169232,1000,forest
2019,W,ECT,A1,0.7771842614947007,0.7648041170157931,0.7888888896463699,1000,forest
2019,W,ECT,A2,0.6285205495627934,0.5847441269043462,0.6702422113349065,1000,forest
2019,W,ECT,B1,0.6126382600145259,0.5611186284126755,0.6592602055329294,1000,forest
2019,W,ECT,B2,0.36487680895032115,0.3417149722853837,0.38845632967858956,1000,forest
2019,W,ECT,B3,0.1692862377192856,0.12442853018179116,0.24341166344329465,1000,forest
2019,W,ECT,C1,0.43982999656723304,0.42205804885357895,0.45592836570053163,1000,forest
2024,C,ECT,A1,0.77190759783456,0.7638176039391258,0.7793365108665753,1000,forest
2024,C,ECT,A2,0.6379871919836393,0.6137797864976707,0.6624884492285955,1000,forest
2024,C,ECT,B1,0.6295424232015931,0.5849417649519884,0.6633828133655958,1000,forest
2024,C,ECT,B2,0.3756483238334002,0.3576801425204045,0.3926703198867675,1000,forest
2024,C,ECT,B3,0.37361609313320854,0.286203634488664,0.45828840699317763,1000,forest
2024,C,ECT,C1,0.5697601061450103,0.5560290564643027,0.5849932377172969,1000,forest
2024,E,ECT,A1,0.764499612879932,0.7576518571572377,0.7710981807109132,1000,forest
2024,E,ECT,A2,0.6472976835224371,0.6235217102811317,0.6683483879795292,1000,forest
2024,E,ECT,B1,0.5999415807521022,0.5625620760934208,0.6363617462916016,1000,forest
