year,part,level,id,median,q025,q975,n,ecosystem
2019,C,Index,Index,0.542280301113516,0.5259553687566199,0.5596429708902122,1000,forest
2019,E,Index,Index,0.5130416205035516,0.5006065186025023,0.5273815251501264,1000,forest
2019,N,Index,Index,0.5204618979156876,0.5068317218179795,0.5369119803694281,1000,forest
2019,Norway,Index,Index,0.5206395848653309,0.5126532803601634,0.5287741943347479,1000,forest
2019,S,Index,Index,0.5508933364529061,0.5341693623768861,0.5680691120360319,1000,forest
2019,W,Index,Index,0.4993963856942292,0.48491974222460266,0.5172886521139274,1000,forest
2024,C,Index,Index,0.559149865173308,0.5426661555120957,0.5751659143402597,1000,forest
2024,E,Index,Index,0.5218549885914879,0.5079062077116611,0.5372231831917158,1000,forest
2024,N,Index,Index,0.5374031414154743,0.522668372888385,0.554113512727035,1000,forest
2024,Norway,Index,Index,0.5336296009697009,0.5264010641699236,0.5414196878600429,1000,forest
2024,S,Index,Index,0.5665273055989181,0.5506031712842492,0.5823752285391041,1000,forest
2024,W,Index,Index,0.5066337671046454,0.4916995148660376,0.5236029503354032,1000,forest
2019,C,Index,Index,0.6019435153718332,0.5657080380461539,0.622939473178983,1000,mountain
2019,E,Index,Index,0.5907347886148107,0.5456107052092358,0.6102100581362089,1000,mountain
2019,N,Index,Index,0.5657922807022374,0.5032653818675838,0.5925209475393899,1000,mountain
2019,Norway,Index,Index,0.6166369922633292,0.5895464196543003,0.6307421011511651,1000,mountain
2019,S,Index,Index,0.6221773498741182,0.5478233383381454,0.6489890362451911,1000,mountain
2019,W,Index,Index,0.6440340062439869,0.5760925813392834,0.6639144208518253,1000,mountain
2024,C,Index,Index,0.5999152779516563,0.563372504236122,0.6213740939964167,1000,mountain
2024,E,Index,Index,0.5830227923887346,0.545858755106728,0.5964011191238566,1000,mountain
2024,N,Index,Index,0.6304615202899024,0.5600660351190767,0.6589879866834958,1000,mountain
2024,Norway,Index,Index,0.6339055389719115,0.6084694287028151,0.6485063454891867,1000,mountain
2024,S,Index,Index,0.6330512363912416,0.5634016938302726,0.6576601376279241,1000,mountain
2024,W,Index,Index,0.6188102876131643,0.5514106894368431,0.6368284226065389,1000,mountain
