rand_point,DSM_max,DSM_median,meta_max,geo_type,tilstnd,id,slope,dem,meta_media,hvdksys,year,month,LiD1,meta1,differ,metamedian,lidmedian,metamax,lidmax
8,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.011150360107422,0.410000443458557,-0.40,0.410330325365067,0.015302658081055,0.420413792133331,0.061470031738281
9,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.006114959716797,0.410444736480713,-0.40,0.410445719957352,0.026700973510742,0.838999032974243,1.371124267578125
10,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.033382415771484,0.412955611944199,-0.38,0.411731243133545,0.016401290893555,0.416322857141495,0.058712005615234
11,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.009086608886719,0.455395340919495,-0.45,0.447341620922089,0.052757263183594,3.246432065963745,1.861488342285156
12,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.005931854248047,0.946431159973145,-0.94,0.616102099418640,0.189754486083984,5.466058731079102,1.886528015136719
13,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.370288848876953,0.428506493568420,-0.06,0.413743644952774,0.037866592407227,1.803691744804382,2.277748107910156
14,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.037406921386719,0.410702496767044,-0.37,0.410853505134583,0.016090393066406,0.420838117599487,0.061470031738281
15,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.189754486083984,0.474276185035706,-0.28,0.453420206904411,0.043933868408203,4.341483592987062,1.431335449218750
17,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.031005859375000,0.410446733236313,-0.38,0.410670176148415,0.014730453491211,0.420830488204956,0.061470031738281
18,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.024818420410156,0.410904914140701,-0.39,0.412387937307358,0.010776519775391,4.241842746734619,0.098884582519531
19,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.010776519775391,0.410776495933533,-0.40,0.411029905080795,0.013538360595703,3.540903568267822,0.634170532226562
20,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.008087158203125,0.411405563354492,-0.40,0.413173630833626,0.019102096557617,2.398112773895264,1.431335449218750
22,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.056068420410156,0.412222564220428,-0.36,0.410874754190445,0.014442443847656,5.361018180847168,0.098884582519531
23,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.681324005126953,0.413422048091888,0.27,0.411519601941109,0.023033142089844,0.431025713682175,2.277748107910156
24,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.003864288330078,0.410304099321365,-0.41,0.410717576742172,0.012283325195312,0.414365559816360,0.061470031738281
25,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.010375976562500,0.412966430187225,-0.40,0.411533236503601,0.015356063842773,0.421468734741211,1.402317047119141
27,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.031265258789062,0.410511404275894,-0.38,0.410860210657120,0.011383056640625,4.618357181549072,0.098884582519531
28,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.005863189697266,0.411771625280380,-0.41,0.415920972824097,0.028694152832031,1.115389943122864,1.431335449218750
29,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.018379211425781,0.410993903875351,-0.39,0.411221385002136,0.015491485595703,0.421468734741211,1.402317047119141
30,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.010425567626953,0.410013347864151,-0.40,0.410044074058533,0.032215118408203,0.430212020874023,2.057449340820312
31,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.632743835449219,0.412876099348068,0.22,0.411128774285316,0.028940200805664,1.812872886657715,2.057449340820312
32,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.037723541259766,0.410120368003845,-0.37,0.410143673419952,0.037723541259766,0.419931858778000,1.371124267578125
33,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.003879547119141,0.411549299955368,-0.41,0.414332866668701,0.019588470458984,0.459763348102570,0.739341735839844
34,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.018890380859375,0.412508279085159,-0.39,0.411881878972054,0.023200988769531,0.431025713682175,2.277748107910156
35,1.103290557861328,0.164043426513672,1.878563523292542,Polygon,darlig,NINFP2110065346,2.754065036773682,49.307144165039062,0.411054611206055,Naturlig aapne,2019.000000000000000,6.000000000000000,0.006706237792969,0.410936504602432,-0.40,0.410912781953812,0.011726379394531,3.802662611007690,0.254611968994141
