"","original","randomised","folds"
"1",-10690363.683701,-8646651.26933397,"fold 1"
"2",-12604009.4196467,-12523208.8199705,"fold 2"
"3",-7058688.36941231,-5360101.69747585,"fold 3"
"4",-10432395.9628903,-9764223.19152376,"fold 4"
"5",-10196364.3589126,-9073546.24457602,"all"
