"year","part","sampled_mean","alpine_area","end_units"
"2010","C",0.866440313142165,16077.309446,"Norway"
"2010","C",0.600437212141419,16077.309446,"Norway"
"2010","C",0.694401250627086,16077.309446,"Norway"
"2010","C",0.850774478638175,16077.309446,"Norway"
"2010","C",0.593097017428181,16077.309446,"Norway"
"2010","C",0.909930638296032,16077.309446,"Norway"
"2010","C",0.769021941621251,16077.309446,"Norway"
"2010","C",0.574358305359193,16077.309446,"Norway"
"2010","C",0.470131629138489,16077.309446,"Norway"
"2010","C",0.74498205660293,16077.309446,"Norway"
"2010","C",0.862572592537301,16077.309446,"Norway"
"2010","C",0.873789660282506,16077.309446,"Norway"
"2010","C",0.882576738949897,16077.309446,"Norway"
"2010","C",0.813347045304326,16077.309446,"Norway"
"2010","C",0.689275694036998,16077.309446,"Norway"
"2010","C",0.692346331049559,16077.309446,"Norway"
"2010","C",0.756326753326721,16077.309446,"Norway"
"2010","C",0.858988758929504,16077.309446,"Norway"
"2010","C",0.598140369357122,16077.309446,"Norway"
"2010","C",0.980093642268171,16077.309446,"Norway"
"2010","C",0.631303499560101,16077.309446,"Norway"
"2010","C",0.432822540216887,16077.309446,"Norway"
"2010","C",0.413896129699242,16077.309446,"Norway"
"2010","C",0.63458685497265,16077.309446,"Norway"
"2010","C",0.806052792291295,16077.309446,"Norway"
"2010","C",0.783637548082729,16077.309446,"Norway"
"2010","C",0.6937442558374,16077.309446,"Norway"
"2010","C",0.602311366721591,16077.309446,"Norway"
"2010","C",0.489647932978546,16077.309446,"Norway"
"2010","C",0.658464649262521,16077.309446,"Norway"
"2010","C",0.78557385369512,16077.309446,"Norway"
"2010","C",0.725388150378177,16077.309446,"Norway"
"2010","C",0.85200593330321,16077.309446,"Norway"
"2010","C",0.789983572273304,16077.309446,"Norway"
"2010","C",0.599148420080001,16077.309446,"Norway"
"2010","C",0.665484928323687,16077.309446,"Norway"
"2010","C",0.653676104294648,16077.309446,"Norway"
"2010","C",0.866817666809632,16077.309446,"Norway"
"2010","C",0.233924525456054,16077.309446,"Norway"
"2010","C",0.982728167154671,16077.309446,"Norway"
"2010","C",0.863031637132675,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.336961955646049,16077.309446,"Norway"
"2010","C",0.901829168683322,16077.309446,"Norway"
"2010","C",0.692273274145743,16077.309446,"Norway"
"2010","C",0.645728523720887,16077.309446,"Norway"
"2010","C",0.728666399958423,16077.309446,"Norway"
"2010","C",0.648335034033535,16077.309446,"Norway"
"2010","C",0.577470220199446,16077.309446,"Norway"
"2010","C",0.593295580145379,16077.309446,"Norway"
"2010","C",0.653918878926462,16077.309446,"Norway"
"2010","C",0.593570024104285,16077.309446,"Norway"
"2010","C",0.402737743932577,16077.309446,"Norway"
"2010","C",0.482014050212581,16077.309446,"Norway"
"2010","C",0.871017108056899,16077.309446,"Norway"
"2010","C",0.617725764167573,16077.309446,"Norway"
"2010","C",0.560895849663771,16077.309446,"Norway"
"2010","C",0.731092510737677,16077.309446,"Norway"
"2010","C",0.59470564948479,16077.309446,"Norway"
"2010","C",0.35346661132147,16077.309446,"Norway"
"2010","C",0.787468137299551,16077.309446,"Norway"
"2010","C",0.709697512517873,16077.309446,"Norway"
"2010","C",0.440101189712118,16077.309446,"Norway"
"2010","C",0.797604161233153,16077.309446,"Norway"
"2010","C",0.811744603179078,16077.309446,"Norway"
"2010","C",0.772501581574995,16077.309446,"Norway"
"2010","C",0.416487295151629,16077.309446,"Norway"
"2010","C",0.48637421218291,16077.309446,"Norway"
"2010","C",0.775541668785922,16077.309446,"Norway"
"2010","C",0.634114132786467,16077.309446,"Norway"
"2010","C",0.776007282487874,16077.309446,"Norway"
"2010","C",0.63089408028994,16077.309446,"Norway"
"2010","C",0.780563207499686,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.751697107096874,16077.309446,"Norway"
"2010","C",0.493391370995151,16077.309446,"Norway"
"2010","C",0.571983993608513,16077.309446,"Norway"
"2010","C",0.713769461925482,16077.309446,"Norway"
"2010","C",0.579391516454333,16077.309446,"Norway"
"2010","C",0.540403567929515,16077.309446,"Norway"
"2010","C",0.680772469805446,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.795362862587769,16077.309446,"Norway"
"2010","C",0.864904437174854,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.901782529628765,16077.309446,"Norway"
"2010","C",0.728715554029039,16077.309446,"Norway"
"2010","C",0.56734135229337,16077.309446,"Norway"
"2010","C",0.288121903755693,16077.309446,"Norway"
"2010","C",0.439906489411065,16077.309446,"Norway"
"2010","C",0.485345588680312,16077.309446,"Norway"
"2010","C",0.858742811638273,16077.309446,"Norway"
"2010","C",0.886990032793596,16077.309446,"Norway"
"2010","C",0.709964670081459,16077.309446,"Norway"
"2010","C",0.686390884140523,16077.309446,"Norway"
"2010","C",0.815066702946382,16077.309446,"Norway"
"2010","C",0.657535370092766,16077.309446,"Norway"
"2010","C",0.51628006335847,16077.309446,"Norway"
"2010","C",0.687945845219994,16077.309446,"Norway"
"2010","C",0.588482748889824,16077.309446,"Norway"
"2010","C",0.856195731078382,16077.309446,"Norway"
"2010","C",0.679561016123399,16077.309446,"Norway"
"2010","C",0.616363115988806,16077.309446,"Norway"
"2010","C",0.49124989130523,16077.309446,"Norway"
"2010","C",0.676044774958241,16077.309446,"Norway"
"2010","C",0.344631393035541,16077.309446,"Norway"
"2010","C",0.598111973184723,16077.309446,"Norway"
"2010","C",0.792395824623756,16077.309446,"Norway"
"2010","C",0.374135169481155,16077.309446,"Norway"
"2010","C",0.999053873146377,16077.309446,"Norway"
"2010","C",0.803523991562783,16077.309446,"Norway"
"2010","C",0.60344640146845,16077.309446,"Norway"
"2010","C",0.388739069808129,16077.309446,"Norway"
"2010","C",0.893105344625957,16077.309446,"Norway"
"2010","C",0.710928506663612,16077.309446,"Norway"
"2010","C",0.629179729384359,16077.309446,"Norway"
"2010","C",0.742705193133659,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.866641600861042,16077.309446,"Norway"
"2010","C",0.408267448029275,16077.309446,"Norway"
"2010","C",0.626835118260613,16077.309446,"Norway"
"2010","C",0.419105511195188,16077.309446,"Norway"
"2010","C",0.765026682731379,16077.309446,"Norway"
"2010","C",0.898292026469228,16077.309446,"Norway"
"2010","C",0.361977253644326,16077.309446,"Norway"
"2010","C",0.119774854551914,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.756649636703455,16077.309446,"Norway"
"2010","C",0.649109487826229,16077.309446,"Norway"
"2010","C",0.89757407293982,16077.309446,"Norway"
"2010","C",0.722445019189525,16077.309446,"Norway"
"2010","C",0.654195010758412,16077.309446,"Norway"
"2010","C",0.707113530883461,16077.309446,"Norway"
"2010","C",0.712943199160694,16077.309446,"Norway"
"2010","C",0.647832244738861,16077.309446,"Norway"
"2010","C",0.72350458406702,16077.309446,"Norway"
"2010","C",0.539936623251388,16077.309446,"Norway"
"2010","C",0.577235038899189,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.766547919281639,16077.309446,"Norway"
"2010","C",0.389245190226166,16077.309446,"Norway"
"2010","C",0.882576738949897,16077.309446,"Norway"
"2010","C",0.91050390983608,16077.309446,"Norway"
"2010","C",0.287528964590432,16077.309446,"Norway"
"2010","C",0.742636413625126,16077.309446,"Norway"
"2010","C",0.532190391521206,16077.309446,"Norway"
"2010","C",0.903737497881057,16077.309446,"Norway"
"2010","C",0.565934109122827,16077.309446,"Norway"
"2010","C",0.681893784198592,16077.309446,"Norway"
"2010","C",0.729928910689648,16077.309446,"Norway"
"2010","C",0.813406451969367,16077.309446,"Norway"
"2010","C",0.774769979236352,16077.309446,"Norway"
"2010","C",0.428920091667257,16077.309446,"Norway"
"2010","C",0.72251596498221,16077.309446,"Norway"
"2010","C",0.612059779207071,16077.309446,"Norway"
"2010","C",0.508538915136194,16077.309446,"Norway"
"2010","C",0.874879852305577,16077.309446,"Norway"
"2010","C",0.519189445348572,16077.309446,"Norway"
"2010","C",0.879754070937658,16077.309446,"Norway"
"2010","C",0.55402618193713,16077.309446,"Norway"
"2010","C",0.955953207024852,16077.309446,"Norway"
"2010","C",0.802702150387195,16077.309446,"Norway"
"2010","C",0.797728042516936,16077.309446,"Norway"
"2010","C",0.466324072867901,16077.309446,"Norway"
"2010","C",0.69384373635351,16077.309446,"Norway"
"2010","C",0.372515550891141,16077.309446,"Norway"
"2010","C",0.471962078601545,16077.309446,"Norway"
"2010","C",0.758894847237777,16077.309446,"Norway"
"2010","C",0.975455688727847,16077.309446,"Norway"
"2010","C",0.39656457757457,16077.309446,"Norway"
"2010","C",0.690054917571544,16077.309446,"Norway"
"2010","C",0.911739899058398,16077.309446,"Norway"
"2010","C",0.446687733562282,16077.309446,"Norway"
"2010","C",0.758889548989128,16077.309446,"Norway"
"2010","C",0.77041356158764,16077.309446,"Norway"
"2010","C",0.975329518781444,16077.309446,"Norway"
"2010","C",0.987207845642148,16077.309446,"Norway"
"2010","C",0.589164518220101,16077.309446,"Norway"
"2010","C",0.690124368975447,16077.309446,"Norway"
"2010","C",0.362273570301013,16077.309446,"Norway"
"2010","C",0.556171384828001,16077.309446,"Norway"
"2010","C",0.444709573284968,16077.309446,"Norway"
"2010","C",0.437926197734294,16077.309446,"Norway"
"2010","C",0.477268798848438,16077.309446,"Norway"
"2010","C",0.805645498886746,16077.309446,"Norway"
"2010","C",0.721330580093546,16077.309446,"Norway"
"2010","C",0.784717456549679,16077.309446,"Norway"
"2010","C",0.641873947496153,16077.309446,"Norway"
"2010","C",0.894359595436971,16077.309446,"Norway"
"2010","C",0.565497026341274,16077.309446,"Norway"
"2010","C",0.578112150662946,16077.309446,"Norway"
"2010","C",0.786028664053785,16077.309446,"Norway"
"2010","C",0.821657669599156,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.723923996561379,16077.309446,"Norway"
"2010","C",0.448364587651826,16077.309446,"Norway"
"2010","C",0.475439830879575,16077.309446,"Norway"
"2010","C",0.604308339934499,16077.309446,"Norway"
"2010","C",0.611242942479123,16077.309446,"Norway"
"2010","C",0.516253282079939,16077.309446,"Norway"
"2010","C",0.745871830157175,16077.309446,"Norway"
"2010","C",0.561419603144808,16077.309446,"Norway"
"2010","C",0.711922584540615,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.617094709156663,16077.309446,"Norway"
"2010","C",0.866951844459642,16077.309446,"Norway"
"2010","C",0.415613805103333,16077.309446,"Norway"
"2010","C",0.489645782325683,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.747540366273992,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.714371468236408,16077.309446,"Norway"
"2010","C",0.784719808892191,16077.309446,"Norway"
"2010","C",0.897238261673958,16077.309446,"Norway"
"2010","C",0.245309565190546,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.59949484042505,16077.309446,"Norway"
"2010","C",0.763996966394161,16077.309446,"Norway"
"2010","C",0.585726993212786,16077.309446,"Norway"
"2010","C",0.793834741335518,16077.309446,"Norway"
"2010","C",0.424599760114695,16077.309446,"Norway"
"2010","C",0.571483029768857,16077.309446,"Norway"
"2010","C",0.657451850675928,16077.309446,"Norway"
"2010","C",0.567232636292783,16077.309446,"Norway"
"2010","C",0.669364054348631,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.719809692825182,16077.309446,"Norway"
"2010","C",0.537487354081744,16077.309446,"Norway"
"2010","C",0.609715631450291,16077.309446,"Norway"
"2010","C",0.529582683280158,16077.309446,"Norway"
"2010","C",0.420089504590975,16077.309446,"Norway"
"2010","C",0.770684544652184,16077.309446,"Norway"
"2010","C",0.831539429838577,16077.309446,"Norway"
"2010","C",0.893317684484413,16077.309446,"Norway"
"2010","C",0.338975252160223,16077.309446,"Norway"
"2010","C",0.478766206723907,16077.309446,"Norway"
"2010","C",0.467624091361557,16077.309446,"Norway"
"2010","C",0.694968372873479,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.679962223506112,16077.309446,"Norway"
"2010","C",0.896093615807862,16077.309446,"Norway"
"2010","C",0.685490966487646,16077.309446,"Norway"
"2010","C",0.74375132120828,16077.309446,"Norway"
"2010","C",0.842829285622467,16077.309446,"Norway"
"2010","C",0.785478005923046,16077.309446,"Norway"
"2010","C",0.35929700360621,16077.309446,"Norway"
"2010","C",0.614636840803529,16077.309446,"Norway"
"2010","C",0.550677935165846,16077.309446,"Norway"
"2010","C",0.691402056895608,16077.309446,"Norway"
"2010","C",0.500286243607557,16077.309446,"Norway"
"2010","C",0.621091937799267,16077.309446,"Norway"
"2010","C",0.777236803308454,16077.309446,"Norway"
"2010","C",0.695690966443889,16077.309446,"Norway"
"2010","C",0.655373111035692,16077.309446,"Norway"
"2010","C",0.525327026081663,16077.309446,"Norway"
"2010","C",0.722180118233783,16077.309446,"Norway"
"2010","C",0.901782529628765,16077.309446,"Norway"
"2010","C",0.558082600564017,16077.309446,"Norway"
"2010","C",0.825388023840447,16077.309446,"Norway"
"2010","C",0.405012998518182,16077.309446,"Norway"
"2010","C",0.647536502142145,16077.309446,"Norway"
"2010","C",0.773104426234447,16077.309446,"Norway"
"2010","C",0.489075820809666,16077.309446,"Norway"
"2010","C",0.727468260123577,16077.309446,"Norway"
"2010","C",0.765604472772995,16077.309446,"Norway"
"2010","C",0.549363604262703,16077.309446,"Norway"
"2010","C",0.396809679299548,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.395000321359268,16077.309446,"Norway"
"2010","C",0.492216168779638,16077.309446,"Norway"
"2010","C",0.75813512651595,16077.309446,"Norway"
"2010","C",0.598332056901186,16077.309446,"Norway"
"2010","C",0.847597671037953,16077.309446,"Norway"
"2010","C",0.802842593406088,16077.309446,"Norway"
"2010","C",0.599025443727854,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.742636143580855,16077.309446,"Norway"
"2010","C",0.693150315871805,16077.309446,"Norway"
"2010","C",0.947660116835486,16077.309446,"Norway"
"2010","C",0.852302084568515,16077.309446,"Norway"
"2010","C",0.622952988169108,16077.309446,"Norway"
"2010","C",0.581773914024029,16077.309446,"Norway"
"2010","C",0.567892359726628,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.793492094270015,16077.309446,"Norway"
"2010","C",0.915643603324342,16077.309446,"Norway"
"2010","C",0.622427060769868,16077.309446,"Norway"
"2010","C",0.785686057398707,16077.309446,"Norway"
"2010","C",0.49175732994427,16077.309446,"Norway"
"2010","C",0.743608477163823,16077.309446,"Norway"
"2010","C",0.578599480641603,16077.309446,"Norway"
"2010","C",0.750280999064626,16077.309446,"Norway"
"2010","C",0.650429465882037,16077.309446,"Norway"
"2010","C",0.768798198909163,16077.309446,"Norway"
"2010","C",0.764256418350022,16077.309446,"Norway"
"2010","C",0.675518879193496,16077.309446,"Norway"
"2010","C",0.736678981075497,16077.309446,"Norway"
"2010","C",0.362869493152676,16077.309446,"Norway"
"2010","C",0.417714969350478,16077.309446,"Norway"
"2010","C",0.478945361869114,16077.309446,"Norway"
"2010","C",0.685637696133647,16077.309446,"Norway"
"2010","C",0.401331646461889,16077.309446,"Norway"
"2010","C",0.59468041810484,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.830300829089311,16077.309446,"Norway"
"2010","C",0.216622324702206,16077.309446,"Norway"
"2010","C",0.615873963737943,16077.309446,"Norway"
"2010","C",0.662047237876721,16077.309446,"Norway"
"2010","C",0.7334406727264,16077.309446,"Norway"
"2010","C",0.848420699500551,16077.309446,"Norway"
"2010","C",0.265671130789472,16077.309446,"Norway"
"2010","C",0.572764807698165,16077.309446,"Norway"
"2010","C",0.622752751288655,16077.309446,"Norway"
"2010","C",0.680369237857159,16077.309446,"Norway"
"2010","C",1,16077.309446,"Norway"
"2010","C",0.936366345686274,16077.309446,"Norway"
