year,part,level,id,sampled_value
2019,E,ECT,A1,0.7660346592561068
2019,E,ECT,A1,0.7649575172890809
2019,E,ECT,A1,0.7709231880660743
2019,E,ECT,A1,0.7691404618102295
2019,E,ECT,A1,0.7662608914201474
2019,E,ECT,A1,0.7680509735980589
2019,E,ECT,A1,0.7656306073166066
2019,E,ECT,A1,0.7654403393061141
2019,E,ECT,A1,0.7666370924223714
2019,E,ECT,A1,0.7694310220671421
2019,E,ECT,A1,0.7771392010714451
2019,E,ECT,A1,0.7647265743047778
2019,E,ECT,A1,0.7714793088445084
2019,E,ECT,A1,0.7711062041270048
2019,E,ECT,A1,0.771603516469562
2019,E,ECT,A1,0.7630345954106909
2019,E,ECT,A1,0.7682853034929057
2019,E,ECT,A1,0.7696157987864247
2019,E,ECT,A1,0.7733728317624091
2019,E,ECT,A1,0.7655931907797537
2019,E,ECT,A1,0.7666217175951393
2019,E,ECT,A1,0.7748344008463178
2019,E,ECT,A1,0.7728993764058549
2019,E,ECT,A1,0.7749266257266378
2019,E,ECT,A1,0.7673376203297548
2019,E,ECT,A1,0.7596840198624988
2019,E,ECT,A1,0.7623244567029603
2019,E,ECT,A1,0.7668101411107062
2019,E,ECT,A1,0.7702587941520039
2019,E,ECT,A1,0.7663766651883466
2019,E,ECT,A1,0.7658371239226112
2019,E,ECT,A1,0.7646851488875669
2019,E,ECT,A1,0.7673722019798128
2019,E,ECT,A1,0.7695495346713532
2019,E,ECT,A1,0.7737193267347846
2019,E,ECT,A1,0.7689038105210451
2019,E,ECT,A1,0.7729424115521795
2019,E,ECT,A1,0.766069148170558
2019,E,ECT,A1,0.7739540562548934
2019,E,ECT,A1,0.7708750131092874
2019,E,ECT,A1,0.7713632804862008
2019,E,ECT,A1,0.7733840756697656
2019,E,ECT,A1,0.7698202081096341
2019,E,ECT,A1,0.7621493734473472
2019,E,ECT,A1,0.7721639169742398
2019,E,ECT,A1,0.7646902604041068
2019,E,ECT,A1,0.7744038391308239
2019,E,ECT,A1,0.772702562480676
2019,E,ECT,A1,0.7757002530879376
2019,E,ECT,A1,0.7686598602146888
2019,E,ECT,A1,0.7706966619837794
2019,E,ECT,A1,0.7654201871445652
2019,E,ECT,A1,0.7750810529421039
2019,E,ECT,A1,0.7673658777129548
2019,E,ECT,A1,0.7732397920234185
2019,E,ECT,A1,0.7702941632854284
2019,E,ECT,A1,0.7720857073992711
2019,E,ECT,A1,0.7681018182827422
2019,E,ECT,A1,0.7702687318879217
2019,E,ECT,A1,0.7721223566451945
2019,E,ECT,A1,0.7669014290666926
2019,E,ECT,A1,0.7674479562344818
2019,E,ECT,A1,0.7713869342790847
2019,E,ECT,A1,0.7695794815707679
2019,E,ECT,A1,0.7683635813763297
2019,E,ECT,A1,0.7697509109423781
2019,E,ECT,A1,0.7714249032134766
2019,E,ECT,A1,0.7713587628775538
2019,E,ECT,A1,0.7639455324809818
2019,E,ECT,A1,0.7703845171037393
2019,E,ECT,A1,0.767744154469822
2019,E,ECT,A1,0.7669776903614427
2019,E,ECT,A1,0.7762850352865578
2019,E,ECT,A1,0.7689757863438477
2019,E,ECT,A1,0.7723870200380312
2019,E,ECT,A1,0.7742315443323333
2019,E,ECT,A1,0.7652334687627464
2019,E,ECT,A1,0.7632272365435198
2019,E,ECT,A1,0.7762390294838417
2019,E,ECT,A1,0.7702083390140342
2019,E,ECT,A1,0.7732614695231645
2019,E,ECT,A1,0.7715843684765464
2019,E,ECT,A1,0.773033658241653
2019,E,ECT,A1,0.7631616146156738
2019,E,ECT,A1,0.7672150544429113
2019,E,ECT,A1,0.7675746947375506
2019,E,ECT,A1,0.7606393700800538
2019,E,ECT,A1,0.7644061686790573
2019,E,ECT,A1,0.7672015171506348
2019,E,ECT,A1,0.7748219853764964
2019,E,ECT,A1,0.7666555226566364
2019,E,ECT,A1,0.770841754470972
2019,E,ECT,A1,0.7683434081158039
2019,E,ECT,A1,0.7685213167479196
2019,E,ECT,A1,0.7739085951983121
2019,E,ECT,A1,0.7741655475669657
2019,E,ECT,A1,0.765499505170311
2019,E,ECT,A1,0.7661508086047982
2019,E,ECT,A1,0.7731339680875944
2019,E,ECT,A1,0.7802072991190918
2019,E,ECT,A1,0.765917816944662
2019,E,ECT,A1,0.7678408199080891
2019,E,ECT,A1,0.7725927012107394
2019,E,ECT,A1,0.7709052325118314
2019,E,ECT,A1,0.7704718140690607
2019,E,ECT,A1,0.7645452066417013
2019,E,ECT,A1,0.7670008924110125
2019,E,ECT,A1,0.7674399640257509
2019,E,ECT,A1,0.7584400421730739
2019,E,ECT,A1,0.7633034132446632
2019,E,ECT,A1,0.7687942656161098
2019,E,ECT,A1,0.7684371093036195
2019,E,ECT,A1,0.7692814069705964
2019,E,ECT,A1,0.7733275402587471
2019,E,ECT,A1,0.770549169992931
2019,E,ECT,A1,0.7696931235381697
2019,E,ECT,A1,0.7690470573076029
2019,E,ECT,A1,0.7739829452870313
2019,E,ECT,A1,0.763446908354876
2019,E,ECT,A1,0.7725485612540492
2019,E,ECT,A1,0.7729484633996508
2019,E,ECT,A1,0.7742771508976818
2019,E,ECT,A1,0.7719969798809717
2019,E,ECT,A1,0.7680993626062966
2019,E,ECT,A1,0.7705128489620102
2019,E,ECT,A1,0.7704215850825136
2019,E,ECT,A1,0.7681272764739553
2019,E,ECT,A1,0.7716221561294414
2019,E,ECT,A1,0.769408558777553
2019,E,ECT,A1,0.7671179742875434
2019,E,ECT,A1,0.7684089715051058
2019,E,ECT,A1,0.7647027927989885
2019,E,ECT,A1,0.7691230921935761
2019,E,ECT,A1,0.7683859641028628
2019,E,ECT,A1,0.7709958412126605
2019,E,ECT,A1,0.7678018876247403
2019,E,ECT,A1,0.7741862195642935
2019,E,ECT,A1,0.7665981510697962
2019,E,ECT,A1,0.7690724924031995
2019,E,ECT,A1,0.7683931519077958
2019,E,ECT,A1,0.7706513801671044
2019,E,ECT,A1,0.771568558855896
2019,E,ECT,A1,0.7634836896874935
2019,E,ECT,A1,0.7732061896036078
2019,E,ECT,A1,0.7698771319760058
2019,E,ECT,A1,0.7660199776630312
2019,E,ECT,A1,0.7652149572086573
2019,E,ECT,A1,0.7689287804157022
2019,E,ECT,A1,0.7730165704711376
2019,E,ECT,A1,0.7641036648705163
2019,E,ECT,A1,0.7638056569605257
2019,E,ECT,A1,0.769363738983199
2019,E,ECT,A1,0.7679748562269608
2019,E,ECT,A1,0.771354499850853
2019,E,ECT,A1,0.7699841809214668
2019,E,ECT,A1,0.7699559782582345
2019,E,ECT,A1,0.77056728797907
2019,E,ECT,A1,0.7682213266364277
2019,E,ECT,A1,0.7645646743455878
2019,E,ECT,A1,0.7640376763381957
2019,E,ECT,A1,0.76885516371494
2019,E,ECT,A1,0.7684451732417614
2019,E,ECT,A1,0.7734707546522818
2019,E,ECT,A1,0.7725398422453873
2019,E,ECT,A1,0.7768331807865241
2019,E,ECT,A1,0.7718736699348737
2019,E,ECT,A1,0.7717643992900327
2019,E,ECT,A1,0.7686815767822024
2019,E,ECT,A1,0.7695794295579652
2019,E,ECT,A1,0.7696637407912628
2019,E,ECT,A1,0.7646949099300528
2019,E,ECT,A1,0.7710044092358289
2019,E,ECT,A1,0.772801453909896
2019,E,ECT,A1,0.7726935229092834
2019,E,ECT,A1,0.7707417294032337
2019,E,ECT,A1,0.777017879665888
2019,E,ECT,A1,0.761214608180995
2019,E,ECT,A1,0.7672546486677787
2019,E,ECT,A1,0.7705280007019057
2019,E,ECT,A1,0.7716644977717262
2019,E,ECT,A1,0.7661600864191467
2019,E,ECT,A1,0.7746974022080733
2019,E,ECT,A1,0.7712411087768674
2019,E,ECT,A1,0.7678507848679403
2019,E,ECT,A1,0.772654887014474
2019,E,ECT,A1,0.7704982700360659
2019,E,ECT,A1,0.7672749650451371
2019,E,ECT,A1,0.7666166774748957
2019,E,ECT,A1,0.7637323181674337
2019,E,ECT,A1,0.7775607085982968
2019,E,ECT,A1,0.7713428239900447
2019,E,ECT,A1,0.7705858387107605
2019,E,ECT,A1,0.7684791872495418
2019,E,ECT,A1,0.7727704265327918
2019,E,ECT,A1,0.7664006591196498
2019,E,ECT,A1,0.7750094729181987
2019,E,ECT,A1,0.7668718232726734
2019,E,ECT,A1,0.7737679939589357
2019,E,ECT,A1,0.7655378025459798
2019,E,ECT,A1,0.7679179614571305
2019,E,ECT,A1,0.772603641844346
2019,E,ECT,A1,0.7676370556466563
2019,E,ECT,A1,0.7660741110402147
2019,E,ECT,A1,0.7699897131200764
2019,E,ECT,A1,0.7657814831378345
2019,E,ECT,A1,0.7721112857668422
