year,part,level,id,sampled_value
2019,C,ECT,A1,0.338803642236764
2019,C,ECT,A1,0.338759362371299
2019,C,ECT,A1,0.336879671834095
2019,C,ECT,A1,0.338784724886063
2019,C,ECT,A1,0.33513992196172
2019,C,ECT,A1,0.338135455305774
2019,C,ECT,A1,0.336899833911947
2019,C,ECT,A1,0.337114829431346
2019,C,ECT,A1,0.336111405850078
2019,C,ECT,A1,0.337863644479957
2019,C,ECT,A1,0.337629094863244
2019,C,ECT,A1,0.33928132457676
2019,C,ECT,A1,0.338678823664985
2019,C,ECT,A1,0.337208403501559
2019,C,ECT,A1,0.336037705265978
2019,C,ECT,A1,0.338100195867689
2019,C,ECT,A1,0.339887370797615
2019,C,ECT,A1,0.338219066631661
2019,C,ECT,A1,0.337924027215597
2019,C,ECT,A1,0.338291286096011
2019,C,ECT,A1,0.340216928651822
2019,C,ECT,A1,0.338749776320856
2019,C,ECT,A1,0.339370147394071
2019,C,ECT,A1,0.337150225679074
2019,C,ECT,A1,0.339045915125158
2019,C,ECT,A1,0.338100195867689
2019,C,ECT,A1,0.33687800274852
2019,C,ECT,A1,0.33822892933707
2019,C,ECT,A1,0.338926656254874
2019,C,ECT,A1,0.336552823930179
2019,C,ECT,A1,0.338751243179061
2019,C,ECT,A1,0.336505252411893
2019,C,ECT,A1,0.335682116207075
2019,C,ECT,A1,0.336682202903437
2019,C,ECT,A1,0.336908494019083
2019,C,ECT,A1,0.33855985051821
2019,C,ECT,A1,0.33692319036804
2019,C,ECT,A1,0.337005666865299
2019,C,ECT,A1,0.336034739379964
2019,C,ECT,A1,0.339045915125158
2019,C,ECT,A1,0.336361465580144
2019,C,ECT,A1,0.336133685936764
2019,C,ECT,A1,0.336034739379964
2019,C,ECT,A1,0.339785493712271
2019,C,ECT,A1,0.338103820867819
2019,C,ECT,A1,0.338521333380589
2019,C,ECT,A1,0.337036251468549
2019,C,ECT,A1,0.338297297181498
2019,C,ECT,A1,0.33941286211493
2019,C,ECT,A1,0.337839995685472
2019,C,ECT,A1,0.338747532474682
2019,C,ECT,A1,0.339370386074291
2019,C,ECT,A1,0.337896451540131
2019,C,ECT,A1,0.336677157628994
2019,C,ECT,A1,0.337146205328358
2019,C,ECT,A1,0.338507328201171
2019,C,ECT,A1,0.336595109357258
2019,C,ECT,A1,0.338678823664985
2019,C,ECT,A1,0.339606724091236
2019,C,ECT,A1,0.339292244977939
2019,C,ECT,A1,0.338021634914522
2019,C,ECT,A1,0.338559120601683
2019,C,ECT,A1,0.338005571450686
2019,C,ECT,A1,0.338337505698337
2019,C,ECT,A1,0.33848967453648
2019,C,ECT,A1,0.338143041356792
2019,C,ECT,A1,0.338131881926288
2019,C,ECT,A1,0.33788599282918
2019,C,ECT,A1,0.335727191276743
2019,C,ECT,A1,0.337595771299284
2019,C,ECT,A1,0.338433399309648
2019,C,ECT,A1,0.337116936768078
2019,C,ECT,A1,0.335982717614649
2019,C,ECT,A1,0.338040743134094
2019,C,ECT,A1,0.338049450988814
2019,C,ECT,A1,0.33891021446253
2019,C,ECT,A1,0.33788599282918
2019,C,ECT,A1,0.339444271919805
2019,C,ECT,A1,0.338290388047611
2019,C,ECT,A1,0.337250094877318
2019,C,ECT,A1,0.337772273844957
2019,C,ECT,A1,0.338432207726558
2019,C,ECT,A1,0.338543166880879
2019,C,ECT,A1,0.339201777746108
2019,C,ECT,A1,0.338093552009375
2019,C,ECT,A1,0.339280221404751
