"year","part","sampled_mean","Fjell","end_units"
"2010","C",0.0784255968193324,12877.32252,"Norway"
"2010","C",0.0778406912911934,12877.32252,"Norway"
"2010","C",0.0650395812252968,12877.32252,"Norway"
"2010","C",0.0436543640126557,12877.32252,"Norway"
"2010","C",0.0549698210847697,12877.32252,"Norway"
"2010","C",0.0649269723412111,12877.32252,"Norway"
"2010","C",0.0204098488673814,12877.32252,"Norway"
"2010","C",0.031760461879902,12877.32252,"Norway"
"2010","C",0.0750859193904797,12877.32252,"Norway"
"2010","C",0.0460706032192618,12877.32252,"Norway"
"2010","C",0.0421232423182085,12877.32252,"Norway"
"2010","C",0.0775203420883704,12877.32252,"Norway"
"2010","C",0.0404025358380253,12877.32252,"Norway"
"2010","C",0.0410375698489894,12877.32252,"Norway"
"2010","C",0.0293660138296313,12877.32252,"Norway"
"2010","C",0.0373004669348011,12877.32252,"Norway"
"2010","C",0.0186426558569907,12877.32252,"Norway"
"2010","C",0.0532640144476289,12877.32252,"Norway"
"2010","C",0.04836524920845,12877.32252,"Norway"
"2010","C",0.0326242635206927,12877.32252,"Norway"
"2010","C",0.0328105376097794,12877.32252,"Norway"
"2010","C",0.0409209150327478,12877.32252,"Norway"
"2010","C",0.0288242740356538,12877.32252,"Norway"
"2010","C",0.0673532861793228,12877.32252,"Norway"
"2010","C",0.0285351964324899,12877.32252,"Norway"
"2010","C",0.116049000724262,12877.32252,"Norway"
"2010","C",0.0405466823005875,12877.32252,"Norway"
"2010","C",0.0562975844167603,12877.32252,"Norway"
"2010","C",0.0190560590014225,12877.32252,"Norway"
"2010","C",0.0418054827224856,12877.32252,"Norway"
"2010","C",0.0364355925107264,12877.32252,"Norway"
"2010","C",0.0584102094237595,12877.32252,"Norway"
"2010","C",0.0243093704978928,12877.32252,"Norway"
"2010","C",0.0209549319612489,12877.32252,"Norway"
"2010","C",0.056947724371529,12877.32252,"Norway"
"2010","C",0.0438785267211394,12877.32252,"Norway"
"2010","C",0.0583340501433143,12877.32252,"Norway"
"2010","C",0.0456085335570047,12877.32252,"Norway"
"2010","C",0.0436244993563512,12877.32252,"Norway"
"2010","C",0.0435034576391894,12877.32252,"Norway"
"2010","C",0.0313604528542043,12877.32252,"Norway"
"2010","C",0.0480583330972504,12877.32252,"Norway"
"2010","C",0.05231729190325,12877.32252,"Norway"
"2010","C",0.0552668944120144,12877.32252,"Norway"
"2010","C",0.0363224893842176,12877.32252,"Norway"
"2010","C",0.0328008860915601,12877.32252,"Norway"
"2010","C",0.0450266220130841,12877.32252,"Norway"
"2010","C",0.0267348296239239,12877.32252,"Norway"
"2010","C",0.0258022806171259,12877.32252,"Norway"
"2010","C",0.0307641299018315,12877.32252,"Norway"
"2010","C",0.0259683976991062,12877.32252,"Norway"
"2010","C",0.0393807950231089,12877.32252,"Norway"
"2010","C",0.0392880355231847,12877.32252,"Norway"
"2010","C",0.0418619127640447,12877.32252,"Norway"
"2010","C",0.0304685148454787,12877.32252,"Norway"
"2010","C",0.0270376914046883,12877.32252,"Norway"
"2010","C",0.0569893648860672,12877.32252,"Norway"
"2010","C",0.0229024593767914,12877.32252,"Norway"
"2010","C",0.0337616525139022,12877.32252,"Norway"
"2010","C",0.026153456465333,12877.32252,"Norway"
"2010","C",0.0240367247765739,12877.32252,"Norway"
"2010","C",0.0362545453156471,12877.32252,"Norway"
"2010","C",0.0306817714667299,12877.32252,"Norway"
"2010","C",0.0837722948941835,12877.32252,"Norway"
"2010","C",0.0607700654088611,12877.32252,"Norway"
"2010","C",0.0512705276729734,12877.32252,"Norway"
"2010","C",0.0766382473645477,12877.32252,"Norway"
"2010","C",0.0251594689022159,12877.32252,"Norway"
"2010","C",0.101273341769588,12877.32252,"Norway"
"2010","C",0.0417681094312454,12877.32252,"Norway"
"2010","C",0.0500627604080947,12877.32252,"Norway"
"2010","C",0.0325264191993523,12877.32252,"Norway"
"2010","C",0.0855505013063969,12877.32252,"Norway"
"2010","C",0.0614642299054853,12877.32252,"Norway"
"2010","C",0.0641402218974223,12877.32252,"Norway"
"2010","C",0.057367840832721,12877.32252,"Norway"
"2010","C",0.0373244567350664,12877.32252,"Norway"
"2010","C",0.0314597110978177,12877.32252,"Norway"
"2010","C",0.0269665812468627,12877.32252,"Norway"
"2010","C",0.0384827537574896,12877.32252,"Norway"
"2010","C",0.0552834083758214,12877.32252,"Norway"
"2010","C",0.043654653322633,12877.32252,"Norway"
"2010","C",0.119901425861599,12877.32252,"Norway"
"2010","C",0.036120550909982,12877.32252,"Norway"
"2010","C",0.0618621546283033,12877.32252,"Norway"
"2010","C",0.0374986714142317,12877.32252,"Norway"
"2010","C",0.0181221083822968,12877.32252,"Norway"
"2010","C",0.0549413956421793,12877.32252,"Norway"
"2010","C",0.100561942142236,12877.32252,"Norway"
"2010","C",0.0491090424044611,12877.32252,"Norway"
"2010","C",0.0599923051522181,12877.32252,"Norway"
"2010","C",0.0281056538072495,12877.32252,"Norway"
"2010","C",0.101083076993987,12877.32252,"Norway"
"2010","C",0.037285142493269,12877.32252,"Norway"
"2010","C",0.0477460134120016,12877.32252,"Norway"
"2010","C",0.0203341278543842,12877.32252,"Norway"
"2010","C",0.105940149150592,12877.32252,"Norway"
"2010","C",0.0422789472398366,12877.32252,"Norway"
"2010","C",0.039726553143188,12877.32252,"Norway"
"2010","C",0.0576363129656783,12877.32252,"Norway"
"2010","C",0.0688750677005073,12877.32252,"Norway"
"2010","C",0.0678399615009907,12877.32252,"Norway"
"2010","C",0.130126349095851,12877.32252,"Norway"
"2010","C",0.0354193791310312,12877.32252,"Norway"
"2010","C",0.0836619684209055,12877.32252,"Norway"
"2010","C",0.0940032429859611,12877.32252,"Norway"
"2010","C",0.0341909550367203,12877.32252,"Norway"
"2010","C",0.0316950712897955,12877.32252,"Norway"
"2010","C",0.0318385031368336,12877.32252,"Norway"
"2010","C",0.0354642536849764,12877.32252,"Norway"
"2010","C",0.060810850523001,12877.32252,"Norway"
"2010","C",0.0680150883697646,12877.32252,"Norway"
"2010","C",0.0850847920771518,12877.32252,"Norway"
"2010","C",0.0853420610386662,12877.32252,"Norway"
"2010","C",0.0535525568501092,12877.32252,"Norway"
"2010","C",0.0227855299474399,12877.32252,"Norway"
"2010","C",0.10616841125138,12877.32252,"Norway"
"2010","C",0.0425571806655592,12877.32252,"Norway"
"2010","C",0.0461453259881043,12877.32252,"Norway"
"2010","C",0.0158420928709062,12877.32252,"Norway"
"2010","C",0.0311381420234163,12877.32252,"Norway"
"2010","C",0.0688419769663774,12877.32252,"Norway"
"2010","C",0.0699701420769034,12877.32252,"Norway"
"2010","C",0.0321059647411591,12877.32252,"Norway"
"2010","C",0.0308075148550044,12877.32252,"Norway"
"2010","C",0.0340855275525259,12877.32252,"Norway"
"2010","C",0.0526521531056357,12877.32252,"Norway"
"2010","C",0.0512065532865304,12877.32252,"Norway"
"2010","C",0.0489124539632848,12877.32252,"Norway"
"2010","C",0.0234214009187766,12877.32252,"Norway"
"2010","C",0.0891306914974831,12877.32252,"Norway"
"2010","C",0.0702674749766114,12877.32252,"Norway"
"2010","C",0.0336965659922476,12877.32252,"Norway"
"2010","C",0.0367130321150341,12877.32252,"Norway"
"2010","C",0.0188416199039047,12877.32252,"Norway"
"2010","C",0.0174176441253176,12877.32252,"Norway"
"2010","C",0.0523615406944059,12877.32252,"Norway"
"2010","C",0.0295702809691748,12877.32252,"Norway"
"2010","C",0.0492663002069446,12877.32252,"Norway"
"2010","C",0.0938772978100262,12877.32252,"Norway"
"2010","C",0.0299905483180253,12877.32252,"Norway"
"2010","C",0.0445250131597613,12877.32252,"Norway"
"2010","C",0.0703917784231981,12877.32252,"Norway"
"2010","C",0.0674124413457891,12877.32252,"Norway"
"2010","C",0.0703277173648495,12877.32252,"Norway"
"2010","C",0.039194121739836,12877.32252,"Norway"
"2010","C",0.0360658382111713,12877.32252,"Norway"
"2010","C",0.0535526152905439,12877.32252,"Norway"
"2010","C",0.0329478879193947,12877.32252,"Norway"
"2010","C",0.0804553367024446,12877.32252,"Norway"
"2010","C",0.074321863441274,12877.32252,"Norway"
"2010","C",0.0477004418759941,12877.32252,"Norway"
